Unique_id,Links,Name,Ratings,Price_for_one,Cuisine1,cuisine 2,cuisine 3,cuisine 4,cusine 5,cusine 6,cusine 7,cusine 8,Links2,Address,latitude,longitude,category,Dishes,Dishes2,Dishes3,Dishes4,Dishes5,Dishes6,Dishes7,Dishes8,Dishes9,Dishes10,Dishes11,Dishes12,Dishes13,Dishes14,Dishes15,Dishes16,Dishes17,Dishes18,Dishes19,Dishes20,Prices,Prices2,Prices3,Prices4,Prices5,Prices6,Prices7,Prices8,Prices9,Prices10,Prices11,Prices12,Prices13,Prices14,Prices15,Prices16,Prices17,Prices18,Prices19,Prices20,AVG_of_prices,Reviews
326,https://www.zomato.com/bangalore/the-taj-hotel-1-city-market-bangalore/order,The Taj Hotel,3.7,600,North Indian, Chinese, Mughlai, Fast Food, Lebanese, Seafood, Rolls,,https://www.zomato.com/bangalore/the-taj-hotel-1-city-market-bangalore/order,City Market,12.9640198,77.57763373, Extra (19) Gravy Rice Bowl (17),Aloo Paratha, 4 Phulka With Sabzi, Masala Paneer, Dum Aloo, Puri Sabzi, Plain Phulka, Plain Steamed Rice, Tikona Paratha, Onion Salad, Tawa Roti Dry, Extra, Aloo Ka Chutney, Aloo Kulcha, Butter Naan, Coke [330ml}, Cucumber Salad, Curd, Green Chutney, Gulab Jamun, Mixed Veg Salad,50,40,57.15,60,65,7.14,14.29,14.29,25,7.14,25,35,25,30,25,7.5,5,40,25,20,28.88,81
334,https://www.zomato.com/bangalore/le-arabia-basaveshwara-nagar-bangalore/order,Le Arabia,3.8,600,North Indian, Mughlai, Chinese, Arabian, Biryani, Beverages, Desserts, Sichuan,https://www.zomato.com/bangalore/le-arabia-basaveshwara-nagar-bangalore/order,Basaveshwara Nagar,12.99855106,77.54233405,"Recommended (5), Le Arabia Special Combos (4), Money Value Combos (10)", Chicken Drums Of Heaven, Rumali Roti, Kerala Parota, Chapathi, Hyderabadi Chicken Biriyani, Le Arabia Special Combos, 2 Half Hyderabadi Chicken Biryani + Half Barbeque Chicken + Softdrink 600M., Chilly Chickn Fried Rice + Quarter Tanduri Chickn + 2 K Parota + Softdrink 600M + Gravy., Half Grilled Chicken + Half Al Faham Chicken + Half Biryani Rice + 2 Kp + Grvy + Softdrink 600m., Qtr Grilled Chikn+Qtr Spicy Bbq +Qtr Al Fam +Qtr Pepper Bbq+ 3kp+ Softdrinks 600ml +Grvy, Money Value Combos, 1 Pc Chicken Biriyani + 2 Pcs Chicken Kebab + Raitha + Pickle., 3 Full Chicken Biriyani + Pickle + Raitha + 3 Lime Juice, Full Grilled Chicken + 4 Kerala Parota + Chicken Gravy + Mayonnaise + Salad + Lime Juice, Half Afghan Chicken + 2 Kerala Parota + Gravy + Mayonnaise + Salad + Fresh Lime Juice., Half Al Faham Chicken + 2 Kerala Parota + Gravy + Mayonnaise + Salad + Fresh Lime Juice., Half Crispy Chicken + 2 Kerala Parota + Gravy.+ Lime Juice, Half Grilled Chicken + 2 Kerala Parota + Gravy + Mayonnaise + Salad + Fresh Lime Juice., Half Pepper Barbeque Chicken + 2 Kerala Parota + Gravy + Mayonnaise + Salad + Fresh Lime Juice., Half Spicy Barbeque Chicken + 2 Kerala Parota + Gravy + Mayonnaise + Salad + Fresh Lime Juice.,240,22,25,16,219,609,469,685,685,270,760,665,360,360,235,350,360,360,360,165,360.75,"20,800"
341,https://www.zomato.com/bangalore/udupi-aatithya-basavanagudi-bangalore/order,Udupi Aatithya,4.1,200,South Indian, North Indian, Chinese, Street Food, Fast Food, Beverages, Desserts,,https://www.zomato.com/bangalore/udupi-aatithya-basavanagudi-bangalore/order,Basavanagudi,12.95727295,77.57019717, Eggless Cakes (26) Eggless Jar Cakes (13),Red Velvet Cake, Fererro Rocher Chocolate Cake, KitKat Chocolate Cake, Choco Chips Cake, Classic Choco Truffle Cake, Butterscotch Jar Cake, Eggless Cakes, Pineapple Cake, Butterscotch Cake, Strawberry Crush Cake, Classic Vanilla Cake, Classic Mango Cake, Rich Irish Coffee Cake, White Forest Cake, Rich Blackcurrant Cake, Blueberry Crush Cake, Honey Almond Cake, Fresh Kiwi Cake, Classic Black Forest Cake, Chocolate Dutch Truffle Cake,399,439,429,425,415,209,369,369,369,369,405,409,415,399,435,435,389,405,419,425,396.4,"57,500"
346,https://www.zomato.com/bangalore/chicken-county-deluxe-restaurant-majestic-bangalore/order,Chicken County Deluxe Restaurant,4.2,200,North Indian, Chinese, Mughlai, Seafood, Fast Food, Biryani, Beverages,,https://www.zomato.com/bangalore/chicken-county-deluxe-restaurant-majestic-bangalore/order,Majestic,12.97545238,77.57493563,"Recommended (5), Veg Soups (5), Non-Veg Soups (6)", Fish Bangada (Oil Fried), Butter Naan, Chicken Hyderabadi Gravy, Tandoori Paneer Tikka, Garlic Naan, Veg Soups, Mushroom Soup, Veg Sweet Corn Soup, Veg Hot And Sour Soup, Veg Manchow Soup, Veg Dragon Soup, Non-Veg Soups, Chicken Clear Soup, Chicken Sweet Corn Soup, Cream Of Chicken Soup, Chicken Hot And Sour Soup, Chicken Manchow Soup, Chicken Dragon Soup, Biriyani And Rice, Chicken Biriyani,200,70,240,210,80,125,130,135,135,140,135,135,135,145,145,145,225,285,310,390,175.75,"1,317"
347,https://www.zomato.com/bangalore/king-punjabi-restaurant-btm/order,King Punjabi Restaurant,3.9,200,North Indian, Chinese, Sichuan,,,,,,https://www.zomato.com/bangalore/king-punjabi-restaurant-btm/order,BTM,12.93535727,77.60891419,"  Recommended (36), Combos (13), Thali (15)  ", Chilli Chicken Combo, Veg Fried Rice, Kadai Paneer, Paneer Manchurian Dry, Chicken Noodles, Standard Thali, Kadai Chicken Gravy, Chicken Schezwan Fried Rice, Chicken Schezwan Noodles, Veg Momos [8 Pieces], Veg Chilli Combo, Egg Fried Rice, 3 Roti with Chicken Curry Thali, Gobi Manchurian Dry, Chicken Curry Thali with Rice and Roti, 3 Plain Paratha with Chicken Curry Thali, Egg Curry Combo, Paneer Sabji Thali with Rice and Roti, Chicken Fried Rice, Aloo Onion Paratha,110,150,140,140,130,190,150,150,80,165,115,150,100,190,180,150,145,140,50,110,136.75,"9,406"
348,https://www.zomato.com/bangalore/arogya-ahaara-jp-nagar-bangalore/order,Arogya Ahaara,4,50,South Indian,,,,,,,,https://www.zomato.com/bangalore/arogya-ahaara-jp-nagar-bangalore/order,JP Nagar,12.91075334,77.58209081,"Recommended (7), South Indian By Kilo (7), South Indian (12)", Family Combo, Masala Dosa, Idli 3 Pieces, Uddina Vada 2 Pieces, Rice Idli Serves Without Chutney & Sambar, Idli 2 Pieces With Vada, Combo, South Indian By Kilo, Breakfast Sambar, Coconut Chutney, Kesari Bath by Kilo, Mysore Masala Dosa Serves Without Chutney & Sambar, Rice Idli Serves Without Chutney & Sambar, Uddina VadaServes Without Chutney & Sambar, Vegetable Kharabath Serves Without Chutney, South Indian, Combo, Family Combo, Mini Combo, 1 Idli And 1 Vada,189,41,51,41,41,51,69,18,14,25,79,41,26,25,69,189,129,29,29,51,60.35,"3,241"
351,https://www.zomato.com/bangalore/casino-restaurant-new-bel-road-bangalore/order,Casino Restaurant,3.8,50,North Indian, Chinese, Beverages,,,,,,https://www.zomato.com/bangalore/casino-restaurant-new-bel-road-bangalore/order,New BEL Road,13.02887929,77.5710528, Combos (2) Soups (5),Chinese Executive Combo, Veg Steamed Momos [6 Pieces], French Fries, Chinese Combo, Veg Fried Rice, White Supreme Pasta, Paneer Chilly, Veg Fried Momos [6 Pieces], Gobi Manchurian, Veg Noodles, Gobi Fried Rice, Classic Veggie Pizza [8 inches], Momo Manchurian [5 Pieces], Paneer Express Pizza [8 inches], Mushroom Manchurian, Paneer Pepper, Antarastriya Burger, Classic Salt Twister, Paneer Falafel Roll, Supreme Nachos,165,75,75,150,55,120,120,80,70,90,100,120,90,140,100,115,55,50,95,125,99.5,"3,335"
355,https://www.zomato.com/bangalore/udupi-shanthi-sagar-frazer-town-bangalore/order,Udupi Shanthi Sagar,4,50,North Indian, South Indian, Chinese, Street Food, Beverages,,,,https://www.zomato.com/bangalore/udupi-shanthi-sagar-frazer-town-bangalore/order,Frazer Town,12.9958649,77.61309314, Meals (6) Idli Vada Dosa Special Rice Bath Kesari Bath Khar Bath Special (45),Masala Dosa, Idli [2 Pieces] and Vada [1 Piece], South Indian Meal WITH DAL [Regular], Break fast combo with Coffee, Dal Khichdi, Set Dosa, Idli [2 Pieces], Butter Masala Dosa, Vada [1 Piece], Poori with Aloo Palya, South Indian Meal SAMBER REGULER, Cheese Masala Dosa, Fried Rice with Gobi Manchurian, Veg Biryani, South Meal [Mini], Ghee Masala Dosa, Veg Fried Rice, Rava Idli [1 Piece], Poori with Aloo Sagu, Paneer Manchurian,89,90,125,160,170,89,45,99,42,90,115,120,180,180,90,99,140,58,88,240,115.45,778
356,https://www.zomato.com/bangalore/singh-da-punjabi-dhaba-koramangala-7th-block-bangalore/order,Singh Da Punjabi Dhaba,3.5,50,North Indian, Biryani,,,,,,,https://www.zomato.com/bangalore/singh-da-punjabi-dhaba-koramangala-7th-block-bangalore/order,Koramangala,12.936308,77.615532, Kaju (1) Offers (1),Special Mysore Pak, Special Peda, Navarathna Khara, Mysorepak Special Pouch, Kalakand Burfi, Dharwad Peda, Sugar Free Kaju Kathli, Nippattu Box, Kaju Damaka, Spl Khara Boondi, Kaju Mysore Pak, Sugar Free Mysorepak, Finger Chips 200Gms, Spl Laddu, Chandrakala, Purampuri, Milk Cake, Horlicks Burfi., Spl Soanpapdi, Cashew Pakoda,188.5,188.5,139.5,223,188.5,188.5,338,102,305.5,123.5,234,216,108,188.5,188.5,188.5,188.5,188.5,186,155,191.35,"15,400"
359,https://www.zomato.com/bangalore/cool-town-richmond-road-bangalore/order,Cool Town,4.3,50,Ice Cream, Desserts, Beverages, Street Food, Juices,,,,https://www.zomato.com/bangalore/cool-town-richmond-road-bangalore/order,Richmond Road,12.9576193,77.61430644, Burgers and Sandwiches (15) Snacks (4),American Sweet Corn Grilled Sandwich, Paneer Grilled Sandwich, Schezwan Sandwich, Kashmiri Falooda, Cheese Corn Nuggets, Veg Burger, Blue Lime, Burgers and Sandwiches, Veg Burger, Schezwan Cheese Burger, Schezwan Paneer Burger, Veg Grilled Sandwich, Masala Grilled Sandwich, Tomato Grilled Sandwich, Veg Cheese Grilled Sandwich, Paneer Grilled Sandwich, Paneer Masala Grilled Sandwich, Paneer Cheese Grilled Sandwich, Cheesy Chilly Sandwich, Chocolate Grilled Sandwich,99,80,80,110,75,80,80,80,90,110,75,70,70,99,80,80,99,70,80,99,85.3,"2,058"
360,https://www.zomato.com/bangalore/punjabi-unplugged-koramangala-7th-block-bangalore/order,Punjabi Unplugged,3.5,150,North Indian, Chinese, Kebab, Biryani, Mughlai,,,,https://www.zomato.com/bangalore/punjabi-unplugged-koramangala-7th-block-bangalore/order,BTM,12.91441,77.60997,"  Recommended (32), Soups (4), Starters (23)  ", Paneer Butter Masala, Kadai Paneer, Special Dal Makhani, Butter Naan, Matar Paneer, Palak Paneer, Special Paneer Lababdar, Aloo Jeera, Dal Tadka, Butter Kulcha, Special Paneer Bhurji, Vegetable Fried Rice, Jeera Rice, Gulab Jamun [2 Pieces], Plain Tawa Paratha, Special Ambarsari Kulcha, Honey Chilli Potato, Plain Rice, Veg Pulao, Mixed Veg,158,158,44,158,199,158,149,149,40,158,219,159,89,30,69,219,139,199,149,21,133.2,"4,166"
364,https://www.zomato.com/bangalore/mangalore-kitchen-1-jeevan-bhima-nagar-bangalore/order,Mangalore Kitchen,3.7,150,Street Food, Chinese,,,,,,,https://www.zomato.com/bangalore/mangalore-kitchen-1-jeevan-bhima-nagar-bangalore/order,Koramangala,12.9418939,77.6154492,"  Recommended (26), Combos (41), Starters (43)  ", Bangda Mackerel Tawa Fry, Fish Meals Combo, Kori Roti with Chicken Curry, Chicken Ghee Roast, Chicken Sukka, Chicken Dum Biryani, Chicken Meals Combo, Silver Fish Rava Fry, Prawns Rava, Mathi Rava Fry, White Pomfret Masala Fry, Anjal Seer Masala Fry, Anjal Seer Fish Rava Fry, Chicken Kebab, Fish Meals Combo 2, Squid Chilli, Kane Lady Fish Rava Fry, Bangda Masala Fry, Bangada Fish Curry, Bangda Rava Fry,95,150,260,250,120,145,100,240,110,440,390,340,145,95,310,270,180,180,140,140,205,241
386,https://www.zomato.com/bangalore/eat-n-drink-btm/order,Eat N Drink,4.1,200,Fast Food, Sandwich, Burger, Wraps, Rolls, Shake, Juices, Beverages,https://www.zomato.com/bangalore/eat-n-drink-btm/order,BTM,12.93095011,77.60673791, Burgers (53) Sandwiches (53),Chicken Club Grilled Sandwich, Zinger Chicken Club Grilled Sandwich, Cold Coffee Milk Shake, Chicken Nuggets Grilled Wrap, Zinger Chicken Bun, Potato Pops with Mayonnaise, Peri Peri Fries, Spicy Zinger Chicken Wrap, Butter Fruit Milk Shake, Zinger Chicken Arabic Kuboos Grilled Sandwich, Chicken Cheese Grilled Sandwich, Spicy Veg Wrap, Veg Cheese Grilled Sandwich, Masala Fries with Mayonnaise, Zinger Chicken Grilled Burger, French Fries with Mayonnaise, Spicy Veg Cheese Grilled Sandwich, Chicken Cheese Tikka Spicy Grilled Burger, Paneer Club Grilled Sandwich, Spicy Egg Club Grilled Sandwich,148,148,67,108,70,67,79,114,65,121,121,87,87,67,108,60,94,135,135,128,100.45,73
396,https://www.zomato.com/bangalore/eliza-momos-hbr-layout-bangalore/order,Eliza Momos,3.8,150,Chinese, Momos, Sichuan,,,,,,https://www.zomato.com/bangalore/eliza-momos-hbr-layout-bangalore/order,HBR Layout,13.02598161,77.62664493, Momos (7) Meals (4),Steamed Chicken Momos 8 Pieces], Chicken Fried Rice, Chicken Schezwan Momos [8 Pieces], Crispy Honey Spicy Chicken, Chicken Burnt Garlic Noodles, Chicken Green Thai Curry with Steamed Rice, Veg Hot & Sour Soup, Lemon Basil Chicken, Chicken Lollipop [6 Pieces], Crispy Chilli Baby Corn, Paneer in Manchurian Gravy, Chicken Schezwan Noodles, Veg Fried Wonton [8 Pieces], Chicken Hakka Noodles, Egg Noodles, Veg Burnt Garlic Noodies, Veg Hakka Noodles, Deep Fried Veg Momos [8 Pieces], Veg Schezwan Momos [8 Pieces], Fish Sweet & Sour,130,140,130,160,140,260,110,160,160,140,150,140,120,140,130,120,120,110,110,220,144.5,909
401,https://www.zomato.com/bangalore/hotel-aasare-yeshwantpur-bangalore/order,Hotel Aasare,4.3,150,Chettinad, Kerala, Seafood,,,,,,https://www.zomato.com/bangalore/hotel-aasare-yeshwantpur-bangalore/order,Yeshwantpur,13.01908399,77.55087353, Soups and Salads (10) South Indian (10),Banana Milkshake, Cold Badam Milkshake, Tomato Clear Soup, Orange Juice, Rava Dosa, Watermelon Juice, Soups and Salads, Tomato Clear Soup, Veg Clear Soup, Veg Hot and Sour Soup, Sweet Corn Soup, Veg Manchow Soup, Mix Veg Soup, Cream of Mushroom Soup, Veg Salad, Baby Corn Salad, Carrot Salad, South Indian, Plain Dosa, Masala Dosa,65,65,60,60,60,55,60,60,70,75,75,80,90,70,100,80,45,60,60,75,68.25,34
409,https://www.zomato.com/bangalore/simply-chats-basaveshwara-nagar-bangalore/order,Simply Chats,3.7,300,Street Food, Sandwich, Ice Cream, Beverages,,,,,https://www.zomato.com/bangalore/simply-chats-basaveshwara-nagar-bangalore/order,Basaveshwara Nagar,12.9998431,77.539967, Burgers and Sandwiches (18) Snacks (25),Pav Bhaji, Vada Pav, Chilli Garlic Pops, Samosa Masala, Masala Puri, Veg Burger, Samosa, Cheese Vada Pav, Strawberry Lassi, Paneer Burger, Peri Peri French Fries, Masala French Fries, Veg Grilled Sandwich, Salted Twistato, Dahi Basket Chaat, Dahi Puri, Sev Puri, Pani Puri, Bhel Puri, Burgers and Sandwiches,65,40,70,48,41,81,21,48,48,94,80,80,75,70,61,55,48,35,35,81,58.8,196
416,https://www.zomato.com/bangalore/lassi-shop-banashankari-bangalore/order,Lassi Shop,4,300,Beverages, Ice Cream, Desserts, Shake, Juices,,,,https://www.zomato.com/bangalore/lassi-shop-banashankari-bangalore/order,Banashankari,12.926287,77.56101966, Burgers and Sandwiches (18) Crispy Rolls (1),Oreo Milkshake, Belgian Chocolate Thick Shake, Gudbud, Plain Maggi, KitKat Mud Thick Shake, Veg Maggi, Veg Grilled Sandwich, Special Falooda, Mud Coffee, Kit Kat Shake, Paneer Cheese Burger, Veg Cheese Maggi, Mango Lassi, Plain Fries, Veg Cheese Burger, Berry Pepper Shot Mojito, Ferrero Automatic Thick Shake, Corn Sandwich, Veg Burger, Dry Fruits Sundae,80,95,120,50,155,65,75,105,125,95,140,80,80,80,100,95,95,95,90,165,99.25,45
427,https://www.zomato.com/bangalore/just-bake-cakes-confectioners-btm-bangalore/order,Just Bake - Cakes & Confectioners,3.5,300,Bakery, Desserts,,,,,,,https://www.zomato.com/bangalore/just-bake-cakes-confectioners-btm-bangalore/order,BTM,12.92406391,77.61482242, Cakes (19) Eggless Cakes (9),Belgium Truffle Cake, Premium Pineapple Cake, Eggless Pineapple Cake, Vancho Vanilla Chocolate Cake, Eggless Death By Chocolate Cake (DBC), Canadian Blueberry Cake, Irish Coffee Cake, Plum Cake Standard Box, Death By Chocolate Pastry, Red Velvet Cup Cake, Tea Cake Vanilla, Dark Chocolate Cup Cakes, Cakes, American Almond Chocolate Cake, Arabian Cashew And Dates Cake, Belgium Truffle Cake, Canadian Blueberry Cake, Choclate Mousse Chocochip Cake, Chocolate Fudge Nilla Cake, Death By Chocolate Cake - Dbc,725,575,575,725,725,695,675,195,110,65,142,60,795,725,725,695,695,550,725,695,543.6,803
