Unique_id,Links,Name,Ratings,Price_for_one,Cuisine
55,https://www.zomato.com/bangalore/paradise-biryani-rajajinagar-bangalore/order,Paradise Biryani,4,100,"Biryani, North Indian, Kebab"
56,https://www.zomato.com/bangalore/behrouz-biryani-shanti-nagar-bangalore/order,Behrouz Biryani,4.2,100,"Biryani, Kebab, Hyderabadi, Lucknowi"
57,https://www.zomato.com/bangalore/sri-udupi-park-residency-road/order,Sri Udupi Park,4.2,100,"South Indian, Chinese, Street Food, Beverages, North Indian, Shake"
58,https://www.zomato.com/bangalore/dindigul-thalappakatti-brigade-road-bangalore/order,Dindigul Thalappakatti,3.8,100,"Biryani, North Indian, South Indian, Chinese, Seafood, Beverages"
59,https://www.zomato.com/bangalore/krishna-vaibhava-vijay-nagar-bangalore/order,Krishna Vaibhava,4.2,100,"South Indian, North Indian, Mithai, Chinese, Biryani"
60,https://www.zomato.com/bangalore/ambur-star-briyani-since-1890-indiranagar-bangalore/order,Ambur Star Briyani Since 1890,4.3,200,"Biryani, Chettinad, Chinese, North Indian"
61,https://www.zomato.com/bangalore/kolkata-kathi-rolls-jp-nagar/order,Kolkata Kathi Rolls,3.9,200,"Rolls, Biryani, Chinese, North Indian, Sichuan"
62,https://www.zomato.com/bangalore/chinese-wok-malleshwaram-bangalore/order,Chinese Wok,3.5,200,"Chinese, Momos, Sichuan"
63,https://www.zomato.com/bangalore/the-belgian-waffle-co-seshadripuram-bangalore/order,The Belgian Waffle Co.,4.2,200,"Waffle, Pancake, Desserts, Beverages"
64,https://www.zomato.com/bangalore/meat-and-eat-domlur/order,Meat And Eat,4,200,"Burger, Sandwich, Fast Food, Wraps, Biryani, Beverages, Desserts"
65,https://www.zomato.com/bangalore/theobroma-lavelle-road-bangalore/order,Theobroma,4.3,200,"Bakery, Desserts, Beverages"
66,https://www.zomato.com/bangalore/andhra-gunpowder-seshadripuram-bangalore/order,Andhra Gunpowder,4.4,200,"Andhra, Biryani, South Indian, Desserts, Beverages, Hyderabadi"
67,https://www.zomato.com/bangalore/glens-bakehouse-lavelle-road/order,Glen's Bakehouse,4.3,200,"Bakery, Cafe, Italian, Continental, Fast Food, Beverages, Desserts"
68,https://www.zomato.com/bangalore/call-me-chow-koramangala-8th-block-bangalore/order,Call Me Chow,4.2,200,"Chinese, Japanese, Thai, Indonesian, Asian"
69,https://www.zomato.com/bangalore/royal-biryani-kitchen-btm-bangalore/order,Royal Biryani Kitchen,3.4,200,"Biryani, North Indian, Mughlai, Fast Food, Beverages, Sichuan"
70,https://www.zomato.com/bangalore/donne-biryani-house-btm-bangalore/order,Donne Biryani House,3.6,200,"Biryani, Fast Food"
71,https://www.zomato.com/bangalore/royal-restaurant-shivajinagar/order,Royal Restaurant,4,200,"North Indian, Chinese, Sichuan"
72,https://www.zomato.com/bangalore/krispy-kreme-richmond-road/order,Krispy Kreme,4.5,150,"Desserts, Beverages"
73,https://www.zomato.com/bangalore/chaatimes-brigade-road-bangalore/order,Chaatimes,4.2,150,"Street Food, Fast Food"
74,https://www.zomato.com/bangalore/pathaan-sir-frazer-town/order,Pathaan Sir,3.8,150,"Rolls, Chinese, Momos"
